Iteration,Execution Time (s)
1,1.000678539276123
2,1.0003347396850586
3,1.0006849765777588
4,1.0007941722869873
5,1.00046968460083
6,1.0002937316894531
7,1.0004432201385498
8,1.000408411026001
9,1.0004057884216309
10,1.0003786087036133
